City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.33,55.99,80,0,1.01,AU,1602976494
pisco,-13.7,-76.22,66.2,72,4,20.8,PE,1602976513
jamestown,42.1,-79.24,50.0,37,1,6.93,US,1602976520
ambilobe,-13.2,49.05,69.85,79,6,3.44,MG,1602976594
neenah,44.19,-88.46,57.99,28,75,16.11,US,1602976550
luderitz,-26.65,15.16,65.77,45,0,17.83,NA,1602976552
saint-philippe,-21.36,55.77,69.8,68,29,3.36,RE,1602976500
pangnirtung,66.15,-65.71,30.51,95,100,3.18,CA,1602976585
umea,63.83,20.26,30.2,100,48,4.7,SE,1602976574
vera cruz,-12.63,-41.03,77.79,54,5,10.65,BR,1602976835
east london,-33.02,27.91,66.85,70,87,9.22,ZA,1602976504
hami,42.8,93.45,43.34,51,0,6.22,CN,1602976490
indramayu,-6.33,108.32,80.85,73,17,8.5,ID,1602976838
fairbanks,64.84,-147.72,27.0,38,75,3.36,US,1602976522
cabo san lucas,22.89,-109.91,89.6,70,40,8.05,MX,1602976456
flin flon,54.77,-101.86,30.2,80,90,11.41,CA,1602976504
daud khel,32.88,71.57,71.98,22,0,1.72,PK,1602976842
bambous virieux,-20.34,57.76,69.8,83,20,6.44,MU,1602976498
qaanaaq,77.48,-69.36,34.68,89,100,9.19,GL,1602976494
rikitea,-23.12,-134.97,74.21,80,100,20.42,PF,1602976487
puerto ayora,-0.74,-90.35,71.01,87,85,7.0,EC,1602976486
iqaluit,63.75,-68.51,33.8,74,75,9.17,CA,1602976556
atuona,-9.8,-139.03,78.53,72,0,14.41,PF,1602976488
hearst,49.68,-83.67,35.13,85,100,4.12,CA,1602976851
jiujiang,29.73,115.98,59.23,80,37,4.56,CN,1602976852
naze,28.37,129.48,73.4,94,75,11.41,JP,1602976503
kodiak,57.79,-152.41,46.4,61,90,4.7,US,1602976510
albany,42.6,-73.97,48.0,64,0,3.67,US,1602976384
sainte-marie,-20.9,55.55,69.8,73,20,10.29,RE,1602976856
punta arenas,-53.15,-70.92,44.6,87,100,11.41,CL,1602976484
mar del plata,-38.0,-57.56,71.01,82,16,5.82,AR,1602976456
hasaki,35.73,140.83,55.4,93,75,9.17,JP,1602976518
vagay,57.94,69.02,30.31,93,93,13.58,RU,1602976860
kutum,14.2,24.67,76.05,19,64,8.48,SD,1602976585
tuatapere,-46.13,167.68,51.01,68,89,8.99,NZ,1602976578
mataura,-46.19,168.86,51.01,69,89,8.01,NZ,1602976485
anori,-3.77,-61.64,86.02,56,96,1.28,BR,1602976864
namangan,41.0,71.67,53.6,58,0,6.93,UZ,1602976865
ahipara,-35.17,173.17,61.74,58,8,7.61,NZ,1602976589
hamilton,39.18,-84.53,57.99,32,61,6.15,US,1602976459
port hedland,-20.32,118.57,69.8,83,0,10.29,AU,1602976498
tiksi,71.69,128.87,18.18,97,100,10.76,RU,1602976491
hobart,-42.88,147.33,53.01,71,75,9.17,AU,1602976386
ponta do sol,32.67,-17.1,69.8,68,75,12.75,PT,1602976500
lebu,-37.62,-73.65,53.42,87,76,6.11,CL,1602976497
vaini,-21.2,-175.2,78.8,83,40,12.75,TO,1602976503
kruisfontein,-34.0,24.73,59.0,91,99,1.01,ZA,1602976510
cape town,-33.93,18.42,57.99,87,20,4.7,ZA,1602976447
necochea,-38.55,-58.74,72.0,67,0,5.01,AR,1602976485
falmouth,50.15,-5.07,52.0,87,56,8.05,GB,1602976579
redmond,47.67,-122.12,57.0,89,96,3.71,US,1602976360
unirea,44.15,23.18,48.0,80,4,1.01,RO,1602976880
castro,-24.79,-50.01,56.77,83,29,10.02,BR,1602976492
chokurdakh,70.63,147.92,24.73,98,100,3.85,RU,1602976505
saratoga,43.1,-73.85,50.0,68,1,3.71,US,1602976883
chuguyevka,44.17,133.86,45.28,74,13,5.26,RU,1602976888
